stop_id,stop_name,stop_lat,stop_lon,n_headsign,s_headsign
101,Van Cortlandt Park-242 St,40.889248,-73.898583,,Manhattan
103,238 St,40.884667,-73.90087,242 St,Manhattan
104,231 St,40.878856,-73.904834,242 St,Manhattan
106,Marble Hill-225 St,40.874561,-73.909831,242 St,Downtown
107,215 St,40.869444,-73.915279,The Bronx,Downtown
108,207 St,40.864621,-73.918822,Uptown & The Bronx,Downtown
109,Dyckman St,40.860531,-73.925536,Uptown & The Bronx,Downtown
110,191 St,40.855225,-73.929412,Uptown & The Bronx,Downtown
111,181 St,40.849505,-73.933596,Uptown & The Bronx,Downtown
112,168 St-Washington Hts,40.840556,-73.940133,Uptown & The Bronx,Downtown
113,157 St,40.834041,-73.94489,Uptown & The Bronx,Downtown
114,145 St,40.826551,-73.95036,Uptown & The Bronx,Downtown
115,137 St-City College,40.822008,-73.953676,Uptown & The Bronx,Downtown
116,125 St,40.815581,-73.958372,Uptown & The Bronx,Downtown
117,116 St-Columbia University,40.807722,-73.96411,Uptown & The Bronx,Downtown
118,Cathedral Pkwy (110 St),40.803967,-73.966847,Uptown & The Bronx,Downtown
119,103 St,40.799446,-73.968379,Uptown & The Bronx,Downtown
120,96 St,40.793919,-73.972323,Uptown & The Bronx,Downtown & Brooklyn
121,86 St,40.788644,-73.976218,Uptown & The Bronx,Downtown
122,79 St,40.783934,-73.979917,Uptown & The Bronx,Downtown
123,72 St,40.778453,-73.98197,Uptown & The Bronx,Downtown & Brooklyn
124,66 St-Lincoln Center,40.77344,-73.982209,Uptown & The Bronx,Downtown
125,59 St-Columbus Circle,40.768247,-73.981929,Uptown & The Bronx,Downtown
126,50 St,40.761728,-73.983849,Uptown & The Bronx,Downtown
127,Times Sq-42 St,40.75529,-73.987495,Uptown & The Bronx,Downtown & Brooklyn
128,34 St-Penn Station,40.750373,-73.991057,Uptown & The Bronx,Downtown & Brooklyn
129,28 St,40.747215,-73.993365,Uptown & The Bronx,Downtown
130,23 St,40.744081,-73.995657,Uptown & The Bronx,Downtown
131,18 St,40.74104,-73.997871,Uptown & The Bronx,Downtown
132,14 St,40.737826,-74.000201,Uptown & The Bronx,Downtown & Brooklyn
133,Christopher St-Sheridan Sq,40.733422,-74.002906,Uptown & The Bronx,Downtown
134,Houston St,40.728251,-74.005367,Uptown & The Bronx,Downtown
135,Canal St,40.722854,-74.006277,Uptown & The Bronx,Downtown
136,Franklin St,40.719318,-74.006886,Uptown & The Bronx,Downtown
137,Chambers St,40.715478,-74.009266,Uptown & The Bronx,Downtown & Brooklyn
138,WTC Cortlandt,40.711835,-74.012188,Uptown & The Bronx,Downtown
139,Rector St,40.707513,-74.013783,Uptown & The Bronx,Downtown
140,South Ferry Loop,40.701411,-74.013205,Northbound,Southbound
142,South Ferry,40.702068,-74.013664,Uptown & The Bronx,
201,Wakefield-241 St,40.903125,-73.85062,,Manhattan
204,Nereid Av,40.898379,-73.854376,Wakefield - 241 St,Manhattan
205,233 St,40.893193,-73.857473,Wakefield - 241 St,Manhattan
206,225 St,40.888022,-73.860341,Wakefield - 241 St,Manhattan
207,219 St,40.883895,-73.862633,Wakefield - 241 St,Manhattan
208,Gun Hill Rd,40.87785,-73.866256,Wakefield - 241 St,Manhattan
209,Burke Av,40.871356,-73.867164,Wakefield - 241 St,Manhattan
210,Allerton Av,40.865462,-73.867352,Wakefield - 241 St,Manhattan
211,Pelham Pkwy,40.857192,-73.867615,Wakefield - 241 St,Manhattan
212,Bronx Park East,40.848828,-73.868457,Wakefield - 241 St,Manhattan
213,E 180 St,40.841894,-73.873488,Wakefield - Eastchester,Manhattan
214,West Farms Sq-E Tremont Av,40.840295,-73.880049,Wakefield - Eastchester,Manhattan
215,174 St,40.837288,-73.887734,Wakefield - Eastchester,Manhattan
216,Freeman St,40.829993,-73.891865,Wakefield - Eastchester,Manhattan
217,Simpson St,40.824073,-73.893064,Wakefield - Eastchester,Manhattan
218,Intervale Av,40.822181,-73.896736,Wakefield - Eastchester,Manhattan
219,Prospect Av,40.819585,-73.90177,Wakefield - Eastchester,Manhattan
220,Jackson Av,40.81649,-73.907807,Wakefield - Eastchester,Manhattan
221,3 Av-149 St,40.816109,-73.917757,Wakefield - Eastchester,Manhattan
222,149 St-Grand Concourse,40.81841,-73.926718,Wakefield - Eastchester,Manhattan
224,135 St,40.814229,-73.94077,Uptown & The Bronx,Downtown & Brooklyn
225,125 St,40.807754,-73.945495,Uptown & The Bronx,Downtown & Brooklyn
226,116 St,40.802098,-73.949625,Uptown & The Bronx,Downtown & Brooklyn
227,Central Park North (110 St),40.799075,-73.951822,Uptown & The Bronx,Downtown & Brooklyn
228,Park Place,40.713051,-74.008811,Uptown & The Bronx,Downtown & Brooklyn
229,Fulton St,40.709416,-74.006571,Uptown & The Bronx,Downtown & Brooklyn
230,Wall St,40.706821,-74.0091,Uptown & The Bronx,Brooklyn
231,Clark St,40.697466,-73.993086,Manhattan,Flatbush - New Lots
232,Borough Hall,40.693219,-73.989998,Manhattan,Flatbush - New Lots
233,Hoyt St,40.690545,-73.985065,Manhattan,Flatbush - New Lots
234,Nevins St,40.688246,-73.980492,Manhattan,Flatbush - Utica - New Lots
235,Atlantic Av-Barclays Ctr,40.684359,-73.977666,Manhattan,Flatbush - New Lots
236,Bergen St,40.680829,-73.975098,Manhattan,Flatbush - New Lots
237,Grand Army Plaza,40.675235,-73.971046,Manhattan,Flatbush - New Lots
238,Eastern Pkwy-Brooklyn Museum,40.671987,-73.964375,Manhattan,Flatbush - New Lots
239,Franklin Av-Medgar Evers College,40.670682,-73.958131,Manhattan,Flatbush - Utica - New Lots
241,President St-Medgar Evers College,40.667883,-73.950683,Manhattan,Flatbush
242,Sterling St,40.662742,-73.95085,Manhattan,Flatbush
243,Winthrop St,40.656652,-73.9502,Manhattan,Flatbush
244,Church Av,40.650843,-73.949575,Manhattan,Flatbush
245,Beverly Rd,40.645098,-73.948959,Manhattan,Flatbush
246,Newkirk Av-Little Haiti,40.639967,-73.948411,Manhattan,Flatbush
247,Flatbush Av-Brooklyn College,40.632836,-73.947642,Manhattan,
248,Nostrand Av,40.669847,-73.950466,Manhattan,New Lots
249,Kingston Av,40.669399,-73.942161,Manhattan,New Lots
250,Crown Hts-Utica Av,40.668897,-73.932942,Manhattan,New Lots
251,Sutter Av-Rutland Rd,40.664717,-73.92261,Manhattan,New Lots
252,Saratoga Av,40.661453,-73.916327,Manhattan,New Lots
253,Rockaway Av,40.662549,-73.908946,Manhattan,New Lots
254,Junius St,40.663515,-73.902447,Manhattan,New Lots
255,Pennsylvania Av,40.664635,-73.894895,Manhattan,New Lots
256,Van Siclen Av,40.665449,-73.889395,Manhattan,New Lots
257,New Lots Av,40.666235,-73.884079,Manhattan,
